rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Gonzaga,WCC,33-4,123.41424936684461,1,89.92546142645577,9,0.9744317405866364,1,33,4,16,0,16-0,0.6055169637747322,0.5618822744860925,0.5932783411114777,0.6055169637747322,0.5618822744860925,0.5932783411114777,0.7562534509230261,0.7507886101597401,106.56136974744949,100.87768579688739,106.56136974744949,100.87768579688739,125.6247190261091,87.91473943537714,130.74160529475415,95.98175526488312,0.9721924141053,10,-0.008889542734675016,1379.0,947.0,1097.8625000000002,1.2560771499163144,0.8625852508852427,0,1.0,6.980038755540262,13,196,71.98556350778067
2,Virginia,ACC,35-3,123.01951035654082,2,89.90425237505784,8,0.9735675246364816,2,35,3,16,2,16-2,0.7140754787976179,0.4864826730704548,0.8026851453903684,0.7140754787976179,0.4864826730704548,0.8026851453903684,0.6302372063227649,0.8023625516442223,108.46186466231026,97.12489003987757,108.46186466231026,97.12489003987757,124.51689306846112,87.84808508312832,135.36344279036996,98.2846022013711,0.9754240383808536,22,0.0880736834271354,1268.0,1020.0,1094.05,1.1589963895617204,0.9323157076916047,0,0.8888888888888888,11.063653297590271,2,22,60.701602785926525
3,Texas Tech,B12,31-7,115.15487008707461,17,85.22581830488076,1,0.9695632584785033,3,31,7,14,4,14-4,0.7126484490997753,0.44310024737752013,0.8435329501784294,0.7126484490997753,0.44310024737752013,0.8435329501784294,0.6439466249773638,0.8449693540765575,108.88550140009377,98.090593667392,108.88550140009377,98.090593667392,116.12343686804583,86.63850313690754,124.70333333487794,91.67088938484885,0.971775273452281,19,-0.008843994841571168,1294.0,1127.0,1205.375,1.0735248366690864,0.934978741055688,0,0.7777777777777778,7.000527253062155,12,195,67.47968097691422
4,Michigan,B10,30-7,114.5987232977877,21,85.55375551181223,2,0.9664747182763584,4,30,7,15,5,15-5,0.7271446861279764,0.44693529580740243,0.8457991523015143,0.7271446861279764,0.44693529580740243,0.8457991523015143,0.6490162518369719,0.8451321910135117,108.45533956017832,96.97163480725771,108.45533956017832,96.97163480725771,116.77678404730918,87.45284045336106,122.84976563049052,89.93538805163716,0.9730515931776533,20,-0.013322402597484628,1370.0,1225.0,1300.5124999999998,1.0534308589882837,0.9419363520150711,0,0.75,9.241473301207227,6,203,65.93542914020084
5,Duke,ACC,32-6,118.86072243758582,8,89.1731627871587,6,0.9645924706749205,5,32,6,14,4,14-4,0.7442578582148994,0.6167471386921015,0.7943731887133525,0.7442578582148994,0.6167471386921015,0.7943731887133525,0.6073105362035885,0.7131080363656314,110.34492066040471,96.59676548362377,110.34492066040471,96.59676548362377,118.00081869576972,90.69766018192252,140.5385627207839,105.73448974201384,0.9634674119573408,20,0.07124016918053566,1418.0,1263.0,1303.6375,1.0877256906156811,0.9688276073678457,0,0.7777777777777778,11.19229734421877,1,37,73.64923200847355
6,Michigan St.,B10,32-7,119.90150614587026,7,91.00827274284552,13,0.9597198426828629,6,32,7,16,4,16-4,0.7743183906701765,0.5906783224548003,0.8402515659980901,0.7743183906701765,0.5906783224548003,0.8402515659980901,0.6021403463937879,0.7454960212756346,109.91371326345336,95.85109237025894,109.91371326345336,95.85109237025894,121.01382857204396,92.06753345200032,123.58315723222955,93.43113282073426,0.9614479433350847,23,0.0581166722224975,1500.0,1289.0,1327.8999999999996,1.1296031327660219,0.9707056254236014,0,0.8,10.703016937299559,3,57,68.63066763108304
7,North Carolina,ACC,29-7,120.05254557513965,6,91.42009910731716,14,0.9582471473751764,7,29,7,16,2,16-2,0.7422890623886081,0.6142875571048032,0.8174249290488601,0.7422890623886081,0.6142875571048032,0.8174249290488601,0.6236280933111238,0.6929440274153129,109.9516814521133,97.0080408705371,109.9516814521133,97.0080408705371,120.96635936105771,91.28289948005587,132.10203065322,101.62984763513911,0.9532796792409118,19,0.03610713788976472,1510.0,1313.0,1346.9625000000003,1.121040860454541,0.9747858607793459,0,0.8888888888888888,9.956742080848965,4,101,76.01894325131022
8,Kentucky,SEC,30-7,117.50172577147177,12,89.76228172553994,7,0.9567611271891602,8,30,7,15,3,15-3,0.7275728947749538,0.5592937603914137,0.8125552743173006,0.7275728947749538,0.5592937603914137,0.8125552743173006,0.6394627704867933,0.7563371561752864,110.18584861312365,97.96691114770788,110.18584861312365,97.96691114770788,117.30264068250261,88.61260217080505,124.7262097460198,94.624225138779,0.9599359113664727,20,0.03284591844015494,1313.0,1126.0,1184.4750000000001,1.1085079887713964,0.9506321366006035,0,0.8333333333333334,8.789098375002805,7,107,66.88693042376049
9,Purdue,B10,26-10,122.75182399356595,4,94.31509492410078,31,0.9539339773677961,9,26,10,16,4,16-4,0.7695275706193578,0.6044380394430924,0.8412365729298109,0.7695275706193578,0.6044380394430924,0.8412365729298109,0.6201359228074965,0.7446363543157414,109.67267008805595,96.05471760296422,109.67267008805595,96.05471760296422,121.3904063853402,93.0448019613103,129.09677184030107,102.33492130503278,0.9353286777954722,19,-0.03240304711298714,1465.0,1306.0,1312.825,1.115914154590292,0.9948012873002875,0,0.8,6.1346206701713015,16,247,67.02595085925132
10,Tennessee,SEC,31-6,122.77533629012979,3,95.24608079418535,40,0.9488147063211863,10,31,6,15,3,15-3,0.7074590384715317,0.5140188513425918,0.7949093854894962,0.7074590384715317,0.5140188513425918,0.7949093854894962,0.6547704864389831,0.7892491613365278,109.46320974858547,97.46452507634447,109.46320974858547,97.46452507634447,124.33275288044422,93.39209525144346,126.42554811965014,96.39398907314765,0.9576661396688737,19,0.07533522649239865,1443.0,1233.0,1241.6625000000001,1.1621515508441302,0.9930234665216996,0,0.8333333333333334,9.85333187339723,5,33,68.84758154703538
