rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Villanova,BE,36-4,128.35420225294897,1,94.13010944468299,15,0.9725172775739696,1,36,4,14,4,14-4,0.757934263135755,0.6032332728611255,0.82949437760268,0.757934263135755,0.6032332728611255,0.82949437760268,0.6530402336226916,0.7864188226964836,111.45708957078038,98.88878654641395,111.45708957078038,98.88878654641395,129.15185178790455,98.29247873332439,142.6234263966056,103.6862371873055,0.9750749602653948,18,0.04024584212962601,1584.0,1374.0,1299.4375000000002,1.2189889856187772,1.0573805973738635,0,0.7777777777777778,10.635005843744677,2,82,69.61100515550935
2,Virginia,ACC,31-3,114.62504840743318,31,86.70023664810421,1,0.9612428566218859,2,31,3,17,1,17-1,0.7094665186659654,0.5552894895404353,0.7939387751974935,0.7094665186659654,0.5552894895404353,0.7939387751974935,0.7003767042634619,0.8197512918861936,109.90606836259467,99.81355502238478,109.90606836259467,99.81355502238478,113.72272721658567,84.7833394676597,122.44216547478749,87.75407312074098,0.9787653156287346,12,0.07072594851028946,1154.0,955.0,1072.3375,1.0761537295860677,0.8905778264772051,0,0.9444444444444444,11.312380597609138,1,34,60.48122095469826
3,Duke,ACC,29-8,122.31846913974438,3,92.94493373787517,7,0.9592282512512368,3,29,8,13,5,13-5,0.7228562575012377,0.6039490798490911,0.7796999135813861,0.7228562575012377,0.6039490798490911,0.7796999135813861,0.680951835639022,0.7704410817874076,109.97265929205288,99.20082217206077,109.97265929205288,99.20082217206077,119.57554060595957,91.16842042878491,122.28892886491523,99.009325675227,0.9189736770339433,14,-0.042960943208872115,1421.0,1219.0,1251.95,1.1350293542074363,0.9736810575502216,0,0.7222222222222222,6.693962221128423,9,272,70.92897436023372
4,Purdue,B10,30-7,123.22913925618829,2,95.66832815807983,33,0.9484031895247592,4,30,7,15,3,15-3,0.7014261132039599,0.5418039296207896,0.7871306840723133,0.7014261132039599,0.5418039296207896,0.7871306840723133,0.6871156311584322,0.7852117369567051,108.82773436371002,99.04169550673082,108.82773436371002,99.04169550673082,125.76710039153825,94.9502299668593,133.8289801731841,102.840006034494,0.953865656022832,14,0.014534396308460651,1379.0,1193.0,1180.6875,1.1679635805409985,1.0104282462548304,0,0.8333333333333334,7.635331744263237,6,136,68.71431238494189
5,Cincinnati,Amer,31-5,111.64804061293907,56,87.65080641148123,2,0.9417443133946471,5,31,5,16,2,16-2,0.5807893588442242,0.45960074417034913,0.6244626716869285,0.5807893588442242,0.45960074417034913,0.6244626716869285,0.7799217088245468,0.8072638265955999,106.47874726574264,102.93048501219127,106.47874726574264,102.93048501219127,112.9552663617939,86.63832755366538,114.12156601030281,94.57065061480158,0.8966965078655781,8,0.011857216873569332,1294.0,997.0,1147.6125,1.127558300384494,0.8687601433410668,0,0.8888888888888888,6.005751014144398,11,141,66.18720870800482
6,Kansas,B12,31-8,122.11345154857469,4,96.35057949058913,41,0.9384862248265737,6,31,8,13,5,13-5,0.7766086323949096,0.610144012509457,0.8514124165196496,0.7766086323949096,0.610144012509457,0.8514124165196496,0.6333149281082742,0.8010287274326117,111.88906070575328,98.23382832430534,111.88906070575328,98.23382832430534,121.5060821995375,100.35189934612352,124.42111361507601,99.35714841502096,0.9300160666209375,21,0.06858543874961376,1396.0,1351.0,1240.7875000000001,1.125091927505717,1.0888246375789568,0,0.7222222222222222,8.211943725038036,4,37,69.90254083860421
7,Michigan,B10,33-8,114.42140599483689,34,90.42079716413294,3,0.9374536599980079,7,33,8,13,5,13-5,0.6920368489637946,0.4139513778306577,0.7991229310598732,0.6920368489637946,0.4139513778306577,0.7991229310598732,0.6659315674142458,0.843384756865629,111.06989946398105,100.38231814749955,111.06989946398105,100.38231814749955,116.96804505793155,93.40104892167311,123.07131056807403,94.04013735102629,0.9566439921169538,18,0.06139483708730198,1280.0,1181.0,1162.875,1.1007201977856604,1.0155863699881758,0,0.7222222222222222,6.892443664158614,8,46,65.88696671833392
8,West Virginia,B12,26-11,120.85608924664655,7,95.80733399901999,35,0.9352938457307377,8,26,11,11,7,11-7,0.7091703069732017,0.4483210370114774,0.8517789349276401,0.7091703069732017,0.4483210370114774,0.8517789349276401,0.6609380897769824,0.8375605054988158,109.40887486680045,98.90454434738436,109.40887486680045,98.90454434738436,121.86435966262967,95.84946701996087,133.04382776565285,105.55089416333124,0.9347517428754045,19,-0.035390976464451995,1400.0,1293.0,1243.925,1.12546978314609,1.0394517354342103,0,0.6111111111111112,4.6264403338529165,14,255,71.15911912506682
9,Michigan St.,B10,30-5,118.88269726363377,11,94.32384419142389,17,0.9346941326059878,9,30,5,16,2,16-2,0.6613981837644785,0.44669670687978097,0.7851251546839878,0.6613981837644785,0.44669670687978097,0.7851251546839878,0.7267141425408266,0.840756477824827,108.41141107010517,100.68182698996034,108.41141107010517,100.68182698996034,120.83085807457117,94.67558517340834,132.633497458863,109.58332425283072,0.8998357784522042,9,0.06308956348457384,1377.0,1191.0,1197.9375,1.1494756612928472,0.9942087963687588,0,0.8888888888888888,7.972452146742157,5,43,68.04375486216126
10,North Carolina,ACC,26-11,120.69383870317134,8,97.10393925040596,51,0.9242093775851822,10,26,11,11,7,11-7,0.7618321357892068,0.6664400480603561,0.805856864652922,0.7618321357892068,0.6664400480603561,0.805856864652922,0.6151992828076586,0.6952083098856991,111.31257017427608,97.74102332619918,111.31257017427608,97.74102332619918,123.32935068013656,100.96495643728862,124.80667767797672,98.95013815136173,0.9352162977115873,22,0.03512153175828048,1452.0,1360.0,1254.45,1.157479373430587,1.0841404599625333,0,0.6111111111111112,7.182298460442452,7,89,72.60176531724423
