rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
11,Tennessee,SEC,26-9,114.16835481561459,36,92.04548019248152,5,0.9225136609815177,11,26,9,13,5,13-5,0.745989621149645,0.645259695794378,0.7986455913503635,0.745989621149645,0.645259695794378,0.7986455913503635,0.6734067532937976,0.710676900044574,111.03033359773207,99.47564097796656,111.03033359773207,99.47564097796656,114.77413252176974,94.71475689850698,122.06377976477887,101.14729552767879,0.8967484802999125,15,0.02039795482290485,1310.0,1220.0,1206.075,1.08616794146301,1.0115457164770019,0,0.7222222222222222,6.4500520547229785,10,120,67.12059597787938
12,Xavier,BE,29-6,120.91720925181733,6,97.65585866967203,59,0.9210754076560717,12,29,6,15,3,15-3,0.7238382826344041,0.5777481408737347,0.8354168395787878,0.7238382826344041,0.5777481408737347,0.8354168395787878,0.6859626122615107,0.8238958989511312,110.234181711599,99.26821537985366,110.234181711599,99.26821537985366,120.5009339667892,97.74002692896528,136.61018513102442,107.93670763259497,0.9375699505946492,12,0.10060077160830094,1491.0,1415.0,1322.4624999999999,1.127442176999348,1.069973628741836,0,0.8333333333333334,8.808555764749357,3,12,71.67752010304875
13,Gonzaga,WCC,32-5,117.23014603113641,15,94.88579779996994,20,0.9192238379191843,13,32,5,17,1,17-1,0.5516624173817986,0.5724922520073883,0.4923550928925692,0.5516624173817986,0.5724922520073883,0.4923550928925692,0.7917845634095043,0.72362606151824,106.36192859840291,103.54595927533697,106.36192859840291,103.54595927533697,117.52963145633875,94.38383256911611,137.4176078972919,107.89449146467854,0.9416686122960353,9,0.04556841079992979,1456.0,1128.0,1211.0249999999999,1.2022873185937533,0.9314423731962594,0,0.9444444444444444,4.842883548989469,12,68,70.54714407370453
14,Texas Tech,B12,27-10,112.69381422313378,50,91.4519804612527,4,0.91697175114679,14,27,10,11,7,11-7,0.7138431967095318,0.4411612046382446,0.8538765189250894,0.7138431967095318,0.4411612046382446,0.8538765189250894,0.6544984220268208,0.8620063832199392,110.70115504186141,99.6009495608632,110.70115504186141,99.6009495608632,113.49391316797534,92.71388081770357,119.74813792516909,98.00248252179851,0.9092552780213033,17,0.04138420178573865,1297.0,1233.0,1220.8625,1.062363697795616,1.0099417420061638,0,0.6111111111111112,4.710930601032507,13,81,67.56357096442684
15,Ohio St.,B10,25-9,115.9654571821633,22,94.27958158776255,16,0.9153528998907597,15,25,9,15,3,15-3,0.7019898229678874,0.5380527641291253,0.7911173358252398,0.7019898229678874,0.5380527641291253,0.7911173358252398,0.6918516559375029,0.8023765678628995,109.85433508042466,99.69447246980596,109.85433508042466,99.69447246980596,119.63279736557622,93.28228173283534,144.76843903653975,126.76242791675718,0.8216313387936184,12,0.014623846270354401,1335.0,1168.0,1181.4875,1.1299315481543395,0.9885843058009501,0,0.8333333333333334,4.530214482996614,15,135,68.15785351642702
16,Penn St.,B10,26-13,115.00844441774443,28,93.56379517804645,10,0.9147578674504465,16,26,13,9,9,9-9,0.6739254015113045,0.4064378894160854,0.7967168521415245,0.6739254015113045,0.4064378894160854,0.7967168521415245,0.7043599455870168,0.888415016085414,109.57277086741998,100.9898294600872,109.57277086741998,100.9898294600872,114.10927722628145,94.96799621390716,126.03924108243315,101.06670663614997,0.9268543756572878,14,-0.06411791290293267,1297.0,1246.0,1215.3624999999997,1.0671713171996011,1.0252085283197403,0,0.5,-0.43027395956342296,57,311,68.71010766507482
17,Florida,SEC,21-13,115.17425851256715,27,93.85891048849615,13,0.9132132972430066,17,21,13,11,7,11-7,0.7316437186705427,0.6050705147701521,0.8053450297927971,0.7316437186705427,0.6050705147701521,0.8053450297927971,0.6751816769388127,0.7306977722619489,109.84700431719396,98.96623408516943,109.84700431719396,98.96623408516943,115.98352944966457,93.2985453910529,128.2838218588413,100.54781225328436,0.9427587598108932,13,-0.08411042544295,1277.0,1196.0,1188.8124999999998,1.0741811681825353,1.0060459492140268,0,0.6111111111111112,1.461905613431639,35,330,68.47790851038634
18,Houston,Amer,27-8,114.82152093509484,29,93.92461549565746,14,0.9097177885416122,18,27,8,14,4,14-4,0.582033754026718,0.4603166391810027,0.590883821414087,0.582033754026718,0.4603166391810027,0.590883821414087,0.7734837122474016,0.8591864070297984,106.06046885475375,101.95435261892663,106.06046885475375,101.95435261892663,115.38270753564899,94.13874624138052,113.17806835660758,94.80750485545165,0.8846079491106452,7,-0.01644310250379677,1365.0,1156.0,1210.6625000000001,1.1274818539436051,0.9548491012152436,0,0.7777777777777778,2.4942985515073484,25,212,69.4376926257948
19,Butler,BE,21-14,116.10306005934007,21,95.2640622743537,28,0.9067848103002352,19,21,14,9,9,9-9,0.7351683136903949,0.538813100502555,0.8370477231877422,0.7351683136903949,0.538813100502555,0.8370477231877422,0.6377657452326341,0.7878164076871431,112.31410936094298,99.72159244684558,112.31410936094298,99.72159244684558,119.41369589152146,96.15888450957198,123.09871819107548,103.53616211141744,0.8797701420644677,18,-0.05035256620613371,1458.0,1384.0,1303.75,1.1183125599232981,1.0615532118887823,0,0.5,1.7226835562722034,33,289,69.07177189387416
20,Kentucky,SEC,26-11,115.76101852639056,23,95.6237814985833,32,0.900044832021757,20,26,11,10,8,10-8,0.756077849843075,0.6321131659984298,0.8205134948654282,0.756077849843075,0.6321131659984298,0.8205134948654282,0.6767200644057315,0.7828655622114084,110.82294959255194,98.72345012698113,110.82294959255194,98.72345012698113,112.35430257198708,96.70016632149306,119.83828875036203,102.61854413839127,0.85618179445383,12,0.026489734930285946,1323.0,1294.0,1252.8,1.0560344827586208,1.0328863346104726,0,0.5555555555555556,4.3465978680860315,16,101,69.98741745949863
21,Clemson,ACC,25-10,112.53092193122342,52,93.10437992370942,8,0.8983777742133193,21,25,10,11,7,11-7,0.7058412850846026,0.4991320916085251,0.8008581987450929,0.7058412850846026,0.4991320916085251,0.8008581987450929,0.6736310896055563,0.8269965740170399,110.26030416304881,99.88088437890649,110.26030416304881,99.88088437890649,110.84824042901175,93.31864586111338,113.04629482100161,93.45144240227548,0.8992652964346073,13,0.04414929864155703,1255.0,1208.0,1203.7125,1.0426077655586363,1.0035618970476754,0,0.6111111111111112,4.01153495348745,18,76,67.22935051828793
22,Seton Hall,BE,22-12,117.78056083000274,14,98.18042781739378,66,0.8902393292090464,22,22,12,10,8,10-8,0.7265085911943928,0.5334093093237248,0.8389286828037472,0.7265085911943928,0.5334093093237248,0.8389286828037472,0.6635001191125479,0.8246953548568847,110.82059612792064,99.11365746583878,110.82059612792064,99.11365746583878,116.9927657144216,99.15679844015503,124.57587284827036,104.84168013507559,0.8790357783459425,14,0.0019413762520628097,1407.0,1398.0,1286.4625000000003,1.093696862520283,1.0867009337621576,0,0.5555555555555556,2.510236104137687,24,161,70.67757463672602
23,Creighton,BE,21-12,116.2339411049137,19,97.44714918633551,56,0.8836429203034767,23,21,12,10,8,10-8,0.6796836324460557,0.43495024396730325,0.8396764926544975,0.6796836324460557,0.43495024396730325,0.8396764926544975,0.6787816428862601,0.8322420719472766,110.44163467303692,100.62534316467332,110.44163467303692,100.62534316467332,118.17232623732687,97.05661041729307,125.03895387644653,107.84411113218525,0.8457035763380155,13,-0.014178837827607649,1427.0,1398.0,1300.825,1.0969961370668613,1.0747025925854745,0,0.5555555555555556,2.0661126938654566,28,205,72.2540848115679
24,TCU,B12,21-12,119.48952764836066,10,100.45241310283004,98,0.8803515142653736,24,21,12,9,9,9-9,0.7241561388869137,0.5199786693304517,0.8580399398934979,0.7241561388869137,0.5199786693304517,0.8580399398934979,0.6824601636701355,0.86481565604987,110.74835898185472,99.87920753028929,110.74835898185472,99.87920753028929,122.96845425680633,102.09333772017143,127.47939124185912,108.68797181077962,0.8622311587365431,14,-0.01037236990671253,1464.0,1412.0,1281.9874999999997,1.1419768133464643,1.1014147953860707,0,0.5,2.2203284268258354,27,194,69.95844482819386
25,Auburn,SEC,26-8,114.02961302304064,39,96.86530794101722,49,0.8671593583830697,25,26,8,13,5,13-5,0.674803979451705,0.48238601712505363,0.799890026237496,0.674803979451705,0.48238601712505363,0.799890026237496,0.7356861230392957,0.8738874034017013,108.45213153081534,100.51566497549436,108.45213153081534,100.51566497549436,118.83609248946507,97.63699831804259,116.24719814491698,98.31435064601561,0.8728962230320577,9,0.082348229093686,1477.0,1330.0,1302.5625,1.1339187179118084,1.0210642483566048,0,0.7222222222222222,4.299744976227505,17,23,73.79667188178547
26,Wichita St.,Amer,25-8,120.9360596031334,5,102.73512488147531,146,0.8671211452996536,26,25,8,14,4,14-4,0.6244032555717005,0.5688604380936638,0.6385909049175705,0.6244032555717005,0.5688604380936638,0.6385909049175705,0.7605690559170681,0.7943394954602931,107.02553073288723,101.09360581656384,107.02553073288723,101.09360581656384,123.21059019409505,102.84656140710801,130.82517242240024,102.59902004161326,0.9423987990356315,9,0.0451703902787326,1464.0,1275.0,1237.5375000000001,1.1829944547134934,1.030271809945153,0,0.7777777777777778,3.45494054040802,20,71,70.05880406553429
27,Texas A&M,SEC,22-13,111.2091278350492,60,94.6927743230361,18,0.8639990522367564,27,22,13,9,9,9-9,0.749009124308479,0.6174057415829538,0.8176256112214847,0.749009124308479,0.6174057415829538,0.8176256112214847,0.6495036103531205,0.7168210608095522,111.49872779586842,99.41261924350212,111.49872779586842,99.41261924350212,110.50918500351858,96.82712033351363,120.4259304180729,102.50105513948026,0.8645211862122919,17,0.04426302470195864,1283.0,1311.0,1244.4875,1.03094647395012,1.053445695517231,0,0.5,1.9707662758698128,30,75,70.25122028644198
28,Florida St.,ACC,23-12,113.1681272783344,47,96.42344763242536,43,0.863118847036567,28,23,12,9,9,9-9,0.6832621585420546,0.410188722689993,0.8068644443327047,0.6832621585420546,0.410188722689993,0.8068644443327047,0.6747308695510114,0.8625073850317154,109.2250042705048,99.73295172577645,109.2250042705048,99.73295172577645,116.84085612568775,102.40592305292607,116.18081726523617,96.73221825495501,0.8915637074271934,17,0.04215477400207179,1440.0,1450.0,1320.4875,1.0905063470877234,1.098079307831388,0,0.5,0.9967694807694865,43,80,72.53842148028428
29,Miami FL,ACC,22-10,113.27700676302518,44,96.5712408580913,45,0.862342649278671,29,22,10,11,7,11-7,0.6665074180663324,0.45813596870533635,0.7812206845253391,0.6665074180663324,0.45813596870533635,0.7812206845253391,0.7111403306906319,0.869207200675932,108.51759462968899,100.43458177578677,108.51759462968899,100.43458177578677,115.8809734097648,99.23432047137317,126.83262734647157,105.18636234891763,0.8958600611212224,10,0.03719829269618957,1328.0,1319.0,1227.5625,1.0818186446718598,1.0744870424112825,0,0.6111111111111112,2.7250019550526807,22,86,68.19687181643295
30,Kansas St.,B12,25-12,109.55901620267196,80,93.67152134634426,11,0.8583551771006567,30,25,12,10,8,10-8,0.7000092296635694,0.4205883961367919,0.8605234381552175,0.7000092296635694,0.4205883961367919,0.8605234381552175,0.6773865765192875,0.8939294465405756,110.88754926836039,100.89811387218357,110.88754926836039,100.89811387218357,114.00882782610698,96.67924361888308,114.16541713671236,100.40350442451192,0.8141477864809965,17,0.06701141312168979,1278.0,1295.0,1209.6499999999999,1.0565039474228084,1.0705575993055845,0,0.5555555555555556,2.567231247319039,23,39,66.45367100826185
31,Virginia Tech,ACC,21-12,115.24024119171597,26,98.56444767213071,73,0.8578499907810003,31,21,12,10,8,10-8,0.6448639765297222,0.36389120691756294,0.8284421992400576,0.6448639765297222,0.36389120691756294,0.8284421992400576,0.6987445286605302,0.8829485988445295,108.40307986089931,101.35602621883315,108.40307986089931,101.35602621883315,115.19274805955102,98.69515863289978,120.84052600255525,102.6695234208591,0.8669202578768688,12,0.0010064191098263509,1299.0,1311.0,1221.9,1.0630984532285783,1.0729192241590964,0,0.5555555555555556,1.3882510087311752,38,163,70.22092661401886
32,Texas,B12,19-15,109.3377574724684,82,93.72329249831834,12,0.854717757075245,32,19,15,8,10,8-10,0.7449748087381467,0.564948405416333,0.860932943804644,0.7449748087381467,0.564948405416333,0.860932943804644,0.6331351867369602,0.7494405922210768,111.14391916972197,98.9037482299092,111.14391916972197,98.9037482299092,111.13989481968753,95.91809138776459,125.66893205374727,106.63742838364634,0.8685830595913117,19,0.004197873651244022,1279.0,1317.0,1239.45,1.0319093146153535,1.0625680745491952,0,0.4444444444444444,1.40001019448362,37,154,66.61976360491327
33,Maryland,B10,19-13,113.89821615360196,41,97.7525334600771,60,0.8529539885178342,33,19,13,8,10,8-10,0.6578575603517973,0.4212613511267449,0.8229561853121853,0.6578575603517973,0.4212613511267449,0.8229561853121853,0.6968773685540083,0.8741776321599666,108.61116362901784,99.6438838707685,108.61116362901784,99.6438838707685,116.8922880955791,101.54187264971996,134.20094069153728,118.66392437038586,0.8045523342146145,12,-0.035305925517141956,1280.0,1313.0,1184.6125,1.0805221116609862,1.108379322352246,0,0.4444444444444444,-0.6079843670506566,60,254,67.52497295312216
34,Arizona,P12,27-8,116.97571167693661,16,100.40748251105435,94,0.8527569911709212,34,27,8,14,4,14-4,0.6525321202479798,0.5726473120968817,0.6841141711806787,0.6525321202479798,0.5726473120968817,0.6841141711806787,0.7714942855452739,0.7959834048331665,108.02897978433411,101.35117894004411,108.02897978433411,101.35117894004411,117.87263056819376,101.31563256537781,125.45259890646082,103.70002026666737,0.8993384288162681,5,0.07378647980264386,1429.0,1302.0,1245.4875,1.1473419042744308,1.0453737994158914,0,0.7777777777777778,3.802414565401289,19,30,68.30555555510337
35,Oklahoma St.,B12,21-15,112.71430415929609,49,96.80054138871179,48,0.8519960723803148,35,21,15,8,10,8-10,0.6933062527449975,0.4444288822199552,0.8612391423285383,0.6933062527449975,0.4444288822199552,0.8612391423285383,0.6828409868579493,0.8494035643651754,110.40804911879066,100.83557454887189,110.40804911879066,100.83557454887189,117.01183321109971,100.25218323043794,122.44024637558411,103.21021453414193,0.8770553609917776,17,-0.023976908692911136,1365.0,1416.0,1275.4750000000001,1.0701895372312276,1.1101746408200865,0,0.4444444444444444,0.1332294895652798,50,226,69.95812236650558
36,San Diego St.,MWC,22-11,110.24431170649632,73,94.89623113132906,21,0.8486461278191527,36,22,11,11,7,11-7,0.5685937255400402,0.46626686009606133,0.5798811520268701,0.5685937255400402,0.46626686009606133,0.5798811520268701,0.8025879475381141,0.8445102412424014,106.82867463349804,102.76146065076422,106.82867463349804,102.76146065076422,112.63736716353584,100.43219864634456,118.53317808805677,101.99047335719582,0.8492339218118479,6,-0.06762342824291245,1383.0,1261.0,1235.075,1.1197700544501346,1.020990628099508,0,0.6111111111111112,-1.5828216934444128,71,317,70.02751736165328
37,Louisville,ACC,22-14,111.94952400579439,55,96.36824568811798,42,0.8485817398585458,37,22,14,9,9,9-9,0.6849258769210386,0.49856874735810613,0.7868230503874607,0.6849258769210386,0.49856874735810613,0.7868230503874607,0.6843914832428161,0.8171814341855966,109.50642022219874,99.78414408576391,109.50642022219874,99.78414408576391,113.88355538046788,95.74506144534365,114.64138968931329,99.33928414757358,0.8385636748425921,15,-0.000991942584385952,1369.0,1314.0,1288.275,1.0626613106673652,1.0199685626127961,0,0.5,0.551651879937503,47,170,70.64246268143734
38,Arkansas,SEC,23-12,116.65742509409078,18,100.43990318875535,97,0.848301858943263,38,23,12,10,8,10-8,0.725642754595814,0.561554488294544,0.8108786484690695,0.725642754595814,0.561554488294544,0.8108786484690695,0.6854262538135991,0.8066300288319108,110.25827386474194,99.57158389835911,110.25827386474194,99.57158389835911,116.34297717077771,102.308197190451,121.55694544344765,111.56331607092557,0.7284141262771673,15,0.05809858935735157,1396.0,1406.0,1279.9625000000003,1.090656952840415,1.0984696817289565,0,0.5555555555555556,2.843328702601693,21,52,71.05451720268464
39,Saint Mary's,WCC,30-6,118.74206061571454,13,102.33951028264414,133,0.8467797623948201,39,30,6,16,2,16-2,0.4886142729613041,0.4454249349047823,0.5005613536766131,0.4886142729613041,0.4454249349047823,0.5005613536766131,0.8701772490308506,0.9092503463786799,103.96033302246286,104.13755327840582,103.96033302246286,104.13755327840582,115.89095120216439,97.2494886932955,124.09590398525015,113.77280435302337,0.730820308521616,2,0.01643538948380807,1340.0,1100.0,1147.7875,1.1674634895396578,0.9583655511146446,0,0.8888888888888888,1.25330796581427,40,131,64.60833967991181
40,Nevada,MWC,29-8,118.87703576396072,12,102.49589745527578,138,0.8461956216545821,40,29,8,15,3,15-3,0.6248643177256654,0.5889456509218087,0.5918750764264,0.6248643177256654,0.5889456509218087,0.5918750764264,0.7801065239782814,0.8136316940016188,106.5507571411388,100.86660832628057,106.5507571411388,100.86660832628057,119.38587388122222,103.2127502796808,117.85835789623397,104.65205878813069,0.7968445046182834,8,0.08051265450559231,1522.0,1346.0,1296.1499999999999,1.1742468078540294,1.0384600547776108,0,0.8333333333333334,2.4842511807867522,26,24,70.69925771063068
41,Loyola Chicago,MVC,32-6,110.52884526167048,66,95.41041697888616,30,0.8444240546172381,41,32,6,15,3,15-3,0.5560764887854134,0.3772529886314553,0.5741438723592656,0.5560764887854134,0.3772529886314553,0.5741438723592656,0.8114359674938632,0.8647351407942047,104.45363730505082,101.36085733878556,104.45363730505082,101.36085733878556,111.74574862842856,97.21447602245559,111.07367228820668,92.73618413833383,0.888449665579303,7,0.09958546327569417,1296.0,1109.0,1173.1375000000003,1.1047298377214945,0.9453282330502603,0,0.8333333333333334,1.967544603772998,31,13,66.39585428379557
42,Marquette,BE,21-14,120.1384058415415,9,103.77435186887088,164,0.8434195433816246,42,21,14,9,9,9-9,0.7195397274784128,0.5189694248617831,0.8442121099067024,0.7195397274784128,0.5189694248617831,0.8442121099067024,0.6682222073988676,0.8221018068039121,111.0785661584427,99.79410527062659,111.0785661584427,99.79410527062659,120.74109007656972,102.70008899888995,137.54755850440768,119.71071501031749,0.831634181075234,15,0.02033702434334783,1460.0,1466.0,1300.9375,1.122267595484026,1.126879654095604,0,0.5,1.0500555921597983,42,122,70.39259147085666
43,Baylor,B12,19-15,110.5171701173407,67,95.49184402600056,31,0.8429701477321192,43,19,15,8,10,8-10,0.6817255085688448,0.43002902923321074,0.8622533077662601,0.6817255085688448,0.43002902923321074,0.8622533077662601,0.6616946656236007,0.8061665921123147,110.86315084726951,100.35780449302821,110.86315084726951,100.35780449302821,110.84997587553383,95.16989327548588,110.4552519262735,97.56370619673501,0.8064656908657065,16,-0.01797127632681783,1288.0,1279.0,1236.625,1.0415445264328314,1.0342666531891236,0,0.4444444444444444,0.16314579963570142,49,217,67.55473779027731
44,USC,P12,24-12,114.02161183224455,40,98.56413786502699,72,0.8422846302454646,44,24,12,12,6,12-6,0.637524385943638,0.5648299672505875,0.678206117209662,0.637524385943638,0.5648299672505875,0.678206117209662,0.7827466135355396,0.8248937867206354,107.91820751054176,101.90582328126669,107.91820751054176,101.90582328126669,116.21041249401375,98.86739900834358,121.52432340932617,106.96513713007361,0.8126819670704851,6,-0.03134542117467842,1364.0,1260.0,1222.8250000000003,1.1154498803998933,1.030400915911925,0,0.6666666666666666,-0.3910594986953485,55,248,68.97224239404724
45,Missouri,SEC,20-13,110.99808896611387,62,95.96734980583372,37,0.8420162332715065,45,20,13,10,8,10-8,0.7053686747813356,0.5239087945792645,0.8223630592642608,0.7053686747813356,0.5239087945792645,0.8223630592642608,0.7067879440024569,0.8227351779525273,109.73123298507257,99.34471099363704,109.73123298507257,99.34471099363704,111.4676625054053,96.13082402079857,115.112586228421,103.1895179625972,0.7785866370569012,11,-0.0034847960501220854,1259.0,1252.0,1204.5625000000002,1.0451927567062729,1.0393815181860633,0,0.5555555555555556,0.4853269343256966,48,177,66.7980650184165
46,Oklahoma,B12,18-14,114.5676883170334,32,99.49801545288085,84,0.8350464330432193,46,18,14,8,10,8-10,0.7475317177117602,0.5611359001418913,0.8631420377972886,0.7475317177117602,0.5611359001418913,0.8631420377972886,0.6477997597293912,0.7958322503982486,111.00839432449331,98.95587162551193,111.00839432449331,98.95587162551193,114.8507576267608,99.96289015101677,123.3768307625963,108.41744487050057,0.8155410474595123,17,0.022764321679796584,1461.0,1510.0,1377.6875,1.0604727124257134,1.0960395590436873,0,0.4444444444444444,1.1345275151829373,41,116,76.7293927077839
47,Syracuse,ACC,23-14,105.97936118442556,135,92.07942539689071,6,0.8343557867885038,47,23,14,8,10,8-10,0.7131956648696272,0.547937987087396,0.7796360616168875,0.7131956648696272,0.547937987087396,0.7796360616168875,0.6821584155453717,0.8421022634484974,111.5116940666364,100.46705167592319,111.5116940666364,100.46705167592319,107.6873221696977,94.52882746100897,112.05310068694217,96.80307761170661,0.8432196865230019,13,0.03775540843686076,1161.0,1173.0,1148.175,1.011169900058789,1.021621268534849,0,0.4444444444444444,-0.3843297043372297,54,85,63.974039117358494
48,Mississippi St.,SEC,25-12,111.2285365721279,59,96.64308274462977,46,0.8343072966792825,48,25,12,9,9,9-9,0.6396072734948498,0.31686574137061474,0.7993109100061665,0.6396072734948498,0.31686574137061474,0.7993109100061665,0.7243234616266452,0.9070151445101167,107.98297659679879,100.72980894726587,107.98297659679879,100.72980894726587,111.63248696175295,97.5934076163868,110.40538918419905,97.91317301967685,0.7991347493809148,11,0.042570973246628285,1279.0,1287.0,1226.2875000000001,1.0429854336768498,1.0495091893214274,0,0.5,0.042127068442671556,51,78,68.55595410425875
