Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
46,Isaac Bonga\bongais01,SF,20,WAS,7,7,149,13,29,.448,1,5,.200,12,24,.500,.466,6,9,.667,7,20,27,12,7,1,6,21,33
47,Devin Booker\bookede01,SG,23,PHO,9,9,309,84,154,.545,25,47,.532,59,107,.551,.627,39,42,.929,2,28,30,49,4,3,32,33,232
48,Chris Boucher\bouchch01,PF,27,TOR,8,0,83,13,30,.433,4,11,.364,9,19,.474,.500,7,10,.700,8,13,21,3,4,11,2,11,37
49,Ky Bowman\bowmaky01,PG,22,GSW,11,3,208,29,65,.446,7,19,.368,22,46,.478,.500,8,9,.889,1,20,21,22,8,0,13,17,73
50,Avery Bradley\bradlav01,SG,29,LAL,8,8,223,35,71,.493,8,25,.320,27,46,.587,.549,4,6,.667,5,24,29,11,10,1,9,21,82
51,Tony Bradley\bradlto01,C,22,UTA,7,0,62,14,22,.636,0,0,,14,22,.636,.636,7,12,.583,12,11,23,1,2,2,3,10,35
52,Jarrell Brantley\brantja01,PF,23,UTA,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,3,3,1,0,1,0,0,0
53,Ignas Brazdeikis\brazdig01,SF,21,NYK,3,0,12,2,6,.333,0,1,.000,2,5,.400,.333,2,2,1.000,0,0,0,1,0,1,1,1,6
54,Mikal Bridges\bridgmi01,SF,23,PHO,9,0,183,17,39,.436,3,14,.214,14,25,.560,.474,6,8,.750,5,30,35,9,14,1,6,14,43
55,Miles Bridges\bridgmi02,SF,21,CHO,10,10,335,52,109,.477,17,47,.362,35,62,.565,.555,9,15,.600,14,42,56,20,2,8,24,22,130
56,Ryan Broekhoff\broekry01,SG,29,DAL,2,0,4,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,1,0,0,0,0,3
57,Malcolm Brogdon\brogdma01,PG,27,IND,10,10,337,74,159,.465,14,45,.311,60,114,.526,.509,46,47,.979,6,45,51,89,12,3,31,24,208
58,Dillon Brooks\brookdi01,SF,24,MEM,10,10,271,48,119,.403,16,44,.364,32,75,.427,.471,23,26,.885,12,27,39,20,10,4,12,45,135
59,Bruce Brown\brownbr01,SG,23,DET,11,7,292,32,81,.395,5,17,.294,27,64,.422,.426,15,25,.600,12,31,43,28,11,4,25,38,84
60,Charlie Brown\brownch02,SG,22,ATL,1,0,4,0,0,,0,0,,0,0,,,2,2,1.000,0,1,1,0,0,0,0,0,2
61,Jaylen Brown\brownja02,SG,23,BOS,6,6,188,44,83,.530,7,23,.304,37,60,.617,.572,24,31,.774,5,38,43,13,4,3,7,19,119
62,Moses Brown\brownmo01,C,20,POR,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
63,Sterling Brown\brownst02,SG,24,MIL,7,0,85,15,29,.517,5,12,.417,10,17,.588,.603,4,6,.667,6,22,28,4,4,1,5,6,39
64,Troy Brown\browntr01,SG,20,WAS,5,1,105,16,38,.421,4,11,.364,12,27,.444,.474,6,6,1.000,11,15,26,7,8,1,6,6,42
65,Jalen Brunson\brunsja01,PG,23,DAL,10,3,209,32,75,.427,7,26,.269,25,49,.510,.473,12,20,.600,9,25,34,34,7,0,11,14,83
66,Thomas Bryant\bryanth01,C,22,WAS,8,8,241,46,88,.523,6,23,.261,40,65,.615,.557,20,25,.800,18,59,77,20,6,12,15,17,118
67,Trey Burke\burketr01,PG,27,PHI,2,0,37,6,15,.400,2,3,.667,4,12,.333,.467,3,4,.750,2,4,6,7,2,1,1,0,17
68,Alec Burks\burksal01,SG,28,GSW,8,1,205,38,80,.475,11,27,.407,27,53,.509,.544,26,28,.929,4,29,33,18,4,5,10,19,113
69,Deonte Burton\burtode02,SG,26,OKC,4,0,21,2,5,.400,2,4,.500,0,1,.000,.600,0,0,,0,4,4,0,1,0,2,3,6
70,Jimmy Butler\butleji01,SF,30,MIA,6,6,195,35,80,.438,5,19,.263,30,61,.492,.469,41,50,.820,14,25,39,33,17,4,13,8,116
71,Bruno Caboclo\cabocbr01,SF,24,MEM,7,0,71,12,29,.414,2,11,.182,10,18,.556,.448,0,0,,6,11,17,4,4,8,3,8,26
72,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,9,1,188,20,57,.351,5,21,.238,15,36,.417,.395,5,7,.714,3,16,19,14,6,1,7,17,50
73,Vlatko Cancar\cancavl01,SF,22,DEN,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
74,Clint Capela\capelca01,C,25,HOU,10,10,300,61,96,.635,0,0,,61,96,.635,.635,13,28,.464,30,87,117,12,10,22,13,28,135
75,DeMarre Carroll\carrode01,SF,33,SAS,4,0,39,4,10,.400,2,5,.400,2,5,.400,.500,2,2,1.000,3,6,9,3,0,1,1,5,12
76,Jevon Carter\carteje01,PG,24,PHO,9,1,153,15,39,.385,10,26,.385,5,13,.385,.513,4,4,1.000,2,16,18,19,9,3,13,18,44
77,Vince Carter\cartevi01,SF,43,ATL,8,0,116,16,40,.400,4,24,.167,12,16,.750,.450,5,6,.833,1,16,17,4,4,1,3,11,41
78,Wendell Carter\cartewe01,C,20,CHI,10,10,269,50,86,.581,1,9,.111,49,77,.636,.587,27,41,.659,30,65,95,8,3,12,13,41,128
79,Michael Carter-Williams\cartemi01,PG,28,ORL,7,0,120,10,37,.270,3,14,.214,7,23,.304,.311,10,12,.833,10,18,28,12,8,5,6,11,33
80,Alex Caruso\carusal01,SG,25,LAL,8,0,142,13,35,.371,3,13,.231,10,22,.455,.414,3,5,.600,1,14,15,17,9,4,13,9,32
81,Willie Cauley-Stein\caulewi01,C,26,GSW,8,7,161,28,51,.549,0,0,,28,51,.549,.549,6,8,.750,9,41,50,9,7,9,7,26,62
82,Tyson Chandler\chandty01,C,37,HOU,9,0,61,8,9,.889,0,0,,8,9,.889,.889,0,1,.000,5,15,20,2,3,2,1,13,16
83,Chris Chiozza\chiozch01,PG,24,WAS,2,0,35,2,9,.222,2,4,.500,0,5,.000,.333,0,0,,0,4,4,7,2,2,3,6,6
84,Marquese Chriss\chrisma01,PF,22,GSW,10,1,154,23,45,.511,2,6,.333,21,39,.538,.533,16,18,.889,13,31,44,17,7,5,14,19,64
85,Brandon Clarke\clarkbr01,PF,23,MEM,9,1,199,45,75,.600,5,12,.417,40,63,.635,.633,11,12,.917,14,45,59,9,6,13,8,15,106
86,Jordan Clarkson\clarkjo01,SG,27,CLE,9,0,203,43,103,.417,14,47,.298,29,56,.518,.485,32,34,.941,3,14,17,20,9,4,11,11,132
87,Nicolas Claxton\claxtni01,PF,20,BRK,2,0,24,5,7,.714,0,0,,5,7,.714,.714,2,5,.400,6,2,8,3,0,0,0,3,12
88,Chris Clemons\clemoch01,PG,22,HOU,4,0,31,6,14,.429,5,13,.385,1,1,1.000,.607,2,2,1.000,2,1,3,2,0,1,3,6,19
89,John Collins\collijo01,PF,22,ATL,5,5,161,32,61,.525,9,19,.474,23,42,.548,.598,12,17,.706,10,34,44,8,5,10,7,17,85
90,Zach Collins\colliza01,PF,22,POR,3,3,86,9,19,.474,3,7,.429,6,12,.500,.553,6,6,1.000,4,8,12,6,0,2,6,11,27
91,Mike Conley\conlemi01,PG,32,UTA,10,10,300,46,126,.365,22,59,.373,24,67,.358,.452,30,37,.811,6,19,25,39,9,2,28,25,144
92,Pat Connaughton\connapa01,SG,27,MIL,8,0,131,16,42,.381,8,28,.286,8,14,.571,.476,1,1,1.000,1,24,25,12,2,3,3,9,41
93,Quinn Cook\cookqu01,PG,26,LAL,9,0,146,22,52,.423,7,21,.333,15,31,.484,.490,2,3,.667,3,10,13,21,3,1,8,7,53
94,Tyler Cook\cookty01,PF,22,CLE,4,0,10,3,4,.750,0,0,,3,4,.750,.750,0,0,,2,1,3,0,1,0,0,0,6
95,Robert Covington\covinro01,PF,29,MIN,10,10,263,41,98,.418,19,60,.317,22,38,.579,.515,19,20,.950,11,46,57,9,15,12,18,29,120
96,Torrey Craig\craigto01,SF,29,DEN,9,2,155,10,31,.323,4,17,.235,6,14,.429,.387,4,6,.667,8,25,33,11,3,8,5,23,28
97,Jae Crowder\crowdja01,SF,29,MEM,10,10,302,33,86,.384,20,63,.317,13,23,.565,.500,15,21,.714,8,48,56,30,12,5,14,22,101
98,Jarrett Culver\culveja01,SG,20,MIN,10,3,214,28,82,.341,10,36,.278,18,46,.391,.402,8,21,.381,7,20,27,21,7,1,15,23,74
99,Seth Curry\curryse01,SG,29,DAL,10,6,198,25,61,.410,14,38,.368,11,23,.478,.525,15,17,.882,3,9,12,13,7,2,9,19,79
100,Stephen Curry\curryst01,PG,31,GSW,4,4,112,27,66,.409,9,37,.243,18,29,.621,.477,18,18,1.000,4,16,20,26,5,2,15,10,81
101,Troy Daniels\danietr01,SG,28,LAL,9,0,137,17,49,.347,12,38,.316,5,11,.455,.469,3,3,1.000,1,13,14,6,3,1,3,4,49
102,Anthony Davis\davisan02,PF,26,LAL,9,9,315,84,174,.483,7,25,.280,77,149,.517,.503,64,72,.889,25,67,92,29,11,28,28,26,239
103,Ed Davis\davised01,C,30,UTA,6,0,73,4,10,.400,0,0,,4,10,.400,.400,2,4,.500,9,22,31,1,1,3,5,14,10
104,Terence Davis\daviste02,SG,22,TOR,10,0,104,11,26,.423,6,14,.429,5,12,.417,.538,4,4,1.000,4,16,20,11,5,2,4,16,32
105,Dewayne Dedmon\dedmode01,C,30,SAC,9,4,154,16,47,.340,5,24,.208,11,23,.478,.394,9,9,1.000,18,27,45,5,3,6,17,25,46
106,Matthew Dellavedova\dellama01,PG,29,CLE,7,0,107,8,29,.276,1,17,.059,7,12,.583,.293,4,5,.800,3,11,14,14,4,1,6,12,21
107,DeMar DeRozan\derozde01,SG,30,SAS,10,10,332,75,152,.493,0,4,.000,75,148,.507,.493,44,57,.772,4,45,49,49,9,5,33,23,194
108,Cheick Diallo\diallch01,C,23,PHO,5,0,12,3,3,1.000,0,0,,3,3,1.000,1.000,3,4,.750,0,1,1,1,0,0,2,3,9
109,Hamidou Diallo\diallha01,SG,21,OKC,10,0,220,41,80,.513,2,12,.167,39,68,.574,.525,11,18,.611,14,27,41,8,15,4,13,23,95
110,Gorgui Dieng\dienggo01,C,30,MIN,7,2,85,17,37,.459,2,12,.167,15,25,.600,.486,8,10,.800,8,21,29,8,6,7,6,5,44
111,Spencer Dinwiddie\dinwisp01,SG,26,BRK,9,0,228,48,114,.421,15,48,.313,33,66,.500,.487,39,48,.813,3,20,23,43,6,3,23,30,150
112,Donte DiVincenzo\divindo01,SG,23,MIL,7,0,97,15,39,.385,9,20,.450,6,19,.316,.500,2,4,.500,5,15,20,7,8,2,7,12,41
113,Luka Doncic\doncilu01,PG,20,DAL,10,10,348,95,196,.485,28,88,.318,67,108,.620,.556,65,77,.844,16,87,103,91,11,1,45,25,283
114,Damyean Dotson\dotsoda01,SG,25,NYK,6,0,53,7,17,.412,4,9,.444,3,8,.375,.529,2,3,.667,0,4,4,3,1,1,3,2,20
115,Goran Dragic\dragigo01,PG,33,MIA,9,0,254,48,101,.475,24,53,.453,24,48,.500,.594,30,42,.714,2,31,33,43,4,3,23,15,150
116,Andre Drummond\drumman01,C,26,DET,11,11,386,92,167,.551,0,8,.000,92,159,.579,.551,39,56,.696,53,139,192,37,19,24,43,45,223
117,Jared Dudley\dudleja01,SF,34,LAL,6,0,36,2,3,.667,2,2,1.000,0,1,.000,1.000,0,0,,0,2,2,1,1,0,0,5,6
118,Kris Dunn\dunnkr01,PG,25,CHI,10,0,204,28,64,.438,2,15,.133,26,49,.531,.453,4,7,.571,6,19,25,28,22,2,7,29,62
119,Carsen Edwards\edwarca01,PG,21,BOS,8,0,86,10,32,.313,5,20,.250,5,12,.417,.391,7,9,.778,2,11,13,7,2,2,2,8,32
120,Wayne Ellington\ellinwa01,SG,32,NYK,8,1,137,14,45,.311,11,40,.275,3,5,.600,.433,0,1,.000,0,15,15,9,2,1,8,9,39
121,Joel Embiid\embiijo01,C,25,PHI,6,6,166,41,90,.456,7,21,.333,34,69,.493,.494,45,54,.833,19,52,71,18,6,10,21,25,134
122,James Ennis\ennisja01,SF,29,PHI,9,0,132,19,36,.528,3,11,.273,16,25,.640,.569,11,16,.688,13,27,40,5,4,1,7,15,52
123,Drew Eubanks\eubandr01,PF,22,SAS,1,0,2,0,2,.000,0,0,,0,2,.000,.000,0,0,,2,1,3,0,0,0,1,1,0
124,Jacob Evans\evansja02,SG,22,GSW,3,0,43,5,12,.417,4,8,.500,1,4,.250,.583,4,4,1.000,1,4,5,2,0,0,1,2,18
125,Tacko Fall\fallta01,C,24,BOS,1,0,4,2,4,.500,0,0,,2,4,.500,.500,0,0,,0,3,3,0,0,0,1,2,4
126,Derrick Favors\favorde01,C,28,NOP,7,5,146,26,44,.591,0,1,.000,26,43,.605,.591,1,3,.333,22,34,56,14,5,3,12,17,53
127,Terrance Ferguson\fergute01,SG,21,OKC,10,10,223,15,34,.441,8,21,.381,7,13,.538,.559,3,3,1.000,6,13,19,10,3,4,6,28,41
128,Bruno Fernando\fernabr01,C,21,ATL,9,0,103,18,30,.600,2,6,.333,16,24,.667,.633,4,9,.444,9,17,26,9,3,3,8,12,42
129,Yogi Ferrell\ferreyo01,PG,26,SAC,5,0,25,4,10,.400,1,4,.250,3,6,.500,.450,3,4,.750,0,3,3,3,1,1,1,2,12
130,Dorian Finney-Smith\finnedo01,PF,26,DAL,10,7,261,29,65,.446,10,35,.286,19,30,.633,.523,11,17,.647,21,34,55,7,7,2,13,18,79
131,Bryn Forbes\forbebr01,SG,26,SAS,10,10,274,49,120,.408,28,74,.378,21,46,.457,.525,18,20,.900,4,27,31,14,4,0,8,19,144
132,Evan Fournier\fournev01,SG,27,ORL,10,10,282,56,120,.467,20,50,.400,36,70,.514,.550,23,26,.885,1,33,34,31,6,3,19,25,155
133,De'Aaron Fox\foxde01,PG,22,SAC,9,9,288,55,128,.430,10,30,.333,45,98,.459,.469,44,62,.710,5,31,36,63,7,5,37,27,164
134,Melvin Frazier\frazime01,SG,23,ORL,1,0,6,1,5,.200,0,1,.000,1,4,.250,.200,0,0,,1,0,1,0,0,0,0,0,2
135,Tim Frazier\fraziti01,PG,29,DET,7,4,103,8,34,.235,3,12,.250,5,22,.227,.279,6,8,.750,3,5,8,24,6,0,7,15,25
136,Markelle Fultz\fultzma01,SG,21,ORL,10,5,235,41,87,.471,4,22,.182,37,65,.569,.494,11,14,.786,6,14,20,31,13,2,17,22,97
137,Wenyen Gabriel\gabriwe01,PF,22,SAC,5,0,34,3,12,.250,1,6,.167,2,6,.333,.292,4,7,.571,3,3,6,3,1,1,3,4,11
138,Daniel Gafford\gaffoda01,PF,21,CHI,3,0,10,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,2,0
139,Danilo Gallinari\gallida01,PF,31,OKC,10,10,293,57,130,.438,31,71,.437,26,59,.441,.558,41,45,.911,4,46,50,17,8,1,11,18,186
140,Langston Galloway\gallola01,SG,28,DET,11,0,266,38,87,.437,21,46,.457,17,41,.415,.557,31,34,.912,3,20,23,21,7,5,6,12,128
141,Darius Garland\garlada01,PG,20,CLE,9,9,255,30,91,.330,8,30,.267,22,61,.361,.374,12,14,.857,3,12,15,35,8,0,23,10,80
142,Marc Gasol\gasolma01,C,35,TOR,10,10,275,22,63,.349,11,29,.379,11,34,.324,.437,10,12,.833,8,60,68,23,3,5,19,31,65
143,Rudy Gay\gayru01,PF,33,SAS,10,0,227,40,83,.482,10,34,.294,30,49,.612,.542,18,22,.818,19,51,70,22,3,5,15,14,108
144,Taj Gibson\gibsota01,C,34,NYK,8,2,116,14,29,.483,0,3,.000,14,26,.538,.483,4,6,.667,11,16,27,10,4,1,8,17,32
145,Harry Giles\gilesha01,PF,21,SAC,1,0,8,1,2,.500,0,0,,1,2,.500,.500,2,2,1.000,0,1,1,0,0,1,0,1,4
146,Shai Gilgeous-Alexander\gilgesh01,SG,21,OKC,10,10,353,80,168,.476,18,44,.409,62,124,.500,.530,32,44,.727,9,49,58,34,7,7,19,14,210
147,Rudy Gobert\goberru01,C,27,UTA,10,10,343,42,64,.656,0,0,,42,64,.656,.656,39,64,.609,22,109,131,10,11,12,23,37,123
148,Aaron Gordon\gordoaa01,PF,24,ORL,10,10,305,53,113,.469,10,36,.278,43,77,.558,.513,20,28,.714,18,37,55,27,8,5,15,28,136
149,Eric Gordon\gordoer01,SG,31,HOU,9,2,265,34,110,.309,21,74,.284,13,36,.361,.405,9,14,.643,3,14,17,7,5,2,12,21,98
150,Devonte' Graham\grahade01,PG,24,CHO,10,0,313,52,127,.409,31,73,.425,21,54,.389,.531,44,56,.786,7,29,36,76,9,1,26,18,179
151,Treveon Graham\grahatr01,SG,26,MIN,10,9,259,28,76,.368,6,29,.207,22,47,.468,.408,12,13,.923,13,25,38,18,11,1,6,22,74
152,Jerami Grant\grantje01,PF,25,DEN,9,0,201,29,68,.426,7,27,.259,22,41,.537,.478,11,17,.647,6,19,25,11,4,4,10,17,76
153,Danny Green\greenda02,SG,32,LAL,9,9,240,28,68,.412,18,45,.400,10,23,.435,.544,4,6,.667,5,22,27,11,13,4,9,26,78
154,Draymond Green\greendr01,PF,29,GSW,6,6,167,20,49,.408,4,17,.235,16,32,.500,.449,7,10,.700,4,42,46,30,7,0,8,15,51
155,JaMychal Green\greenja01,PF,29,LAC,10,0,218,29,69,.420,19,46,.413,10,23,.435,.558,14,17,.824,13,50,63,3,2,3,9,28,91
156,Javonte Green\greenja02,SG,26,BOS,7,0,49,12,22,.545,1,6,.167,11,16,.688,.568,2,5,.400,1,4,5,2,2,0,0,7,27
157,Jeff Green\greenje02,PF,33,UTA,10,1,188,20,58,.345,13,36,.361,7,22,.318,.457,9,14,.643,2,20,22,5,5,4,10,17,62
158,Blake Griffin\griffbl01,F,30,DET,1,1,24,6,12,.500,1,3,.333,5,9,.556,.542,6,8,.750,0,7,7,6,0,0,4,1,19
159,Marko Guduric\gudurma01,SG,24,MEM,10,0,181,22,52,.423,6,21,.286,16,31,.516,.481,6,6,1.000,7,20,27,21,3,2,12,9,56
160,Rui Hachimura\hachiru01,SF,21,WAS,8,8,228,49,100,.490,4,16,.250,45,84,.536,.510,7,8,.875,18,31,49,12,5,1,9,14,109
161,Tim Hardaway\hardati02,SG,27,DAL,10,0,230,39,105,.371,21,64,.328,18,41,.439,.471,17,22,.773,3,20,23,14,1,1,4,22,116
162,James Harden\hardeja01,SG,30,HOU,10,10,357,99,243,.407,42,141,.298,57,102,.559,.494,133,151,.881,11,43,54,83,14,7,58,31,373
163,Maurice Harkless\harklma01,PF,26,LAC,10,0,213,24,48,.500,3,13,.231,21,35,.600,.531,6,10,.600,7,22,29,10,11,6,9,36,57
164,Jared Harper\harpeja01,PG,22,PHO,1,0,2,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0
165,Montrezl Harrell\harremo01,C,26,LAC,10,1,295,80,123,.650,0,2,.000,80,121,.661,.650,38,60,.633,27,44,71,22,9,12,21,25,198
166,Gary Harris\harriga01,SG,25,DEN,9,9,282,38,92,.413,13,34,.382,25,58,.431,.484,11,15,.733,6,25,31,13,12,1,10,20,100
167,Joe Harris\harrijo01,SG,28,BRK,9,9,288,46,90,.511,26,52,.500,20,38,.526,.656,5,7,.714,11,24,35,15,7,2,16,23,123
168,Tobias Harris\harrito02,SF,27,PHI,9,9,316,64,126,.508,10,35,.286,54,91,.593,.548,27,35,.771,7,70,77,29,12,6,21,29,165
169,Shaquille Harrison\harrish01,PG,26,CHI,5,0,21,3,10,.300,0,1,.000,3,9,.333,.300,4,6,.667,0,7,7,2,0,1,0,4,10
170,Josh Hart\hartjo01,SF,24,NOP,10,4,277,43,93,.462,22,57,.386,21,36,.583,.581,18,22,.818,13,53,66,14,14,4,14,29,126
171,Jaxson Hayes\hayesja02,C,19,NOP,7,0,98,19,28,.679,0,2,.000,19,26,.731,.679,8,15,.533,9,13,22,5,4,4,4,21,46
172,Gordon Hayward\haywago01,SF,29,BOS,8,8,249,61,110,.555,13,30,.433,48,80,.600,.614,16,19,.842,6,51,57,33,6,2,15,15,151
173,John Henson\hensojo01,PF,29,CLE,1,0,8,1,2,.500,0,1,.000,1,1,1.000,.500,1,6,.167,2,1,3,0,2,2,1,0,3
174,Juan Hernangómez\hernaju01,PF,24,DEN,3,0,19,1,5,.200,1,4,.250,0,1,.000,.300,0,0,,0,1,1,0,0,1,0,0,3
175,Willy Hernangómez\hernawi01,C,25,CHO,3,0,28,5,10,.500,1,2,.500,4,8,.500,.550,0,0,,4,2,6,1,1,2,2,1,11
176,Tyler Herro\herroty01,SG,20,MIA,9,3,263,41,98,.418,16,43,.372,25,55,.455,.500,20,24,.833,2,41,43,20,8,0,16,12,118
177,Mario Hezonja\hezonma01,SF,24,POR,10,3,230,19,60,.317,7,21,.333,12,39,.308,.375,9,11,.818,9,52,61,11,10,2,10,27,54
178,Buddy Hield\hieldbu01,SG,27,SAC,9,9,272,61,144,.424,32,79,.405,29,65,.446,.535,9,11,.818,7,32,39,14,6,5,25,23,163
179,George Hill\hillge01,PG,33,MIL,10,0,229,37,66,.561,15,26,.577,22,40,.550,.674,12,17,.706,13,18,31,29,9,1,5,18,101
180,Solomon Hill\hillso01,SF,28,MEM,8,0,134,17,36,.472,9,20,.450,8,16,.500,.597,7,12,.583,4,19,23,11,7,1,8,13,50
181,Jaylen Hoard\hoardja01,SF,20,POR,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
182,Aaron Holiday\holidaa01,PG,23,IND,8,3,156,19,55,.345,11,24,.458,8,31,.258,.445,4,5,.800,3,14,17,20,7,1,8,13,53
183,Jrue Holiday\holidjr01,SG,29,NOP,8,8,280,44,121,.364,10,43,.233,34,78,.436,.405,19,25,.760,6,37,43,58,15,6,23,20,117
184,Justin Holiday\holidju01,SG,30,IND,10,0,230,22,58,.379,13,38,.342,9,20,.450,.491,6,9,.667,3,34,37,13,7,9,7,20,63
185,Rondae Hollis-Jefferson\holliro01,SF,25,TOR,3,0,48,8,17,.471,0,0,,8,17,.471,.471,4,6,.667,3,9,12,3,3,1,4,8,20
186,Richaun Holmes\holmeri01,C,26,SAC,9,5,226,40,63,.635,0,0,,40,63,.635,.635,10,14,.714,22,41,63,8,6,12,10,33,90
187,Rodney Hood\hoodro01,SF,27,POR,9,9,263,34,71,.479,15,31,.484,19,40,.475,.585,12,15,.800,7,28,35,5,8,4,9,23,95
188,Al Horford\horfoal01,PF,33,PHI,9,9,283,58,126,.460,14,42,.333,44,84,.524,.516,13,20,.650,20,47,67,36,10,10,10,28,143
189,Danuel House\houseda01,SF,26,HOU,10,9,292,38,80,.475,25,55,.455,13,25,.520,.631,17,21,.810,7,42,49,7,12,10,10,21,118
190,Dwight Howard\howardw01,C,34,LAL,9,0,184,26,33,.788,0,0,,26,33,.788,.788,6,14,.429,19,48,67,9,5,15,7,36,58
191,Kevin Huerter\huertke01,SG,21,ATL,9,2,210,28,71,.394,14,41,.341,14,30,.467,.493,12,15,.800,6,25,31,25,6,3,16,19,82
192,De'Andre Hunter\huntede01,SF,22,ATL,9,9,258,29,79,.367,10,35,.286,19,44,.432,.430,12,15,.800,5,34,39,13,4,2,14,19,80
193,Chandler Hutchison\hutchch01,SF,23,CHI,3,1,57,10,18,.556,2,4,.500,8,14,.571,.611,5,10,.500,1,10,11,1,2,2,3,9,27
194,Serge Ibaka\ibakase01,C,30,TOR,8,0,183,44,84,.524,5,16,.313,39,68,.574,.554,19,23,.826,7,45,52,6,5,10,17,19,112
195,Ersan Ilyasova\ilyaser01,PF,32,MIL,10,0,168,21,52,.404,8,30,.267,13,22,.591,.481,10,12,.833,11,42,53,5,5,5,5,23,60
196,Joe Ingles\inglejo01,SF,32,UTA,10,1,278,25,68,.368,14,46,.304,11,22,.500,.471,9,10,.900,2,37,39,37,8,1,14,25,73
197,Brandon Ingram\ingrabr01,PF,22,NOP,9,9,289,87,162,.537,23,49,.469,64,113,.566,.608,36,50,.720,10,56,66,35,7,8,28,27,233
198,Kyrie Irving\irvinky01,PG,27,BRK,9,9,301,94,202,.465,28,74,.378,66,128,.516,.535,54,58,.931,8,42,50,65,10,5,22,24,270
199,Jonathan Isaac\isaacjo01,SF,22,ORL,10,10,302,44,90,.489,14,37,.378,30,53,.566,.567,19,21,.905,11,56,67,16,14,30,17,22,121
200,Wesley Iwundu\iwundwe01,SF,25,ORL,3,0,28,1,11,.091,0,5,.000,1,6,.167,.091,2,4,.500,1,7,8,1,0,0,2,1,4
201,Frank Jackson\jacksfr01,PG,21,NOP,10,0,181,36,87,.414,12,38,.316,24,49,.490,.483,16,20,.800,3,8,11,15,8,1,15,20,100
202,Jaren Jackson\jacksja02,C,20,MEM,9,9,238,49,103,.476,11,34,.324,38,69,.551,.529,18,23,.783,13,33,46,14,4,10,22,35,127
203,Justin Jackson\jacksju01,SF,24,DAL,10,0,134,23,46,.500,10,22,.455,13,24,.542,.609,8,10,.800,6,19,25,3,1,0,4,9,64
204,Reggie Jackson\jacksre01,PG,29,DET,2,2,36,4,11,.364,1,5,.200,3,6,.500,.409,1,1,1.000,1,4,5,8,0,0,1,2,10
205,Justin James\jamesju01,SG,23,SAC,3,0,12,3,7,.429,0,2,.000,3,5,.600,.429,1,4,.250,0,2,2,1,1,1,0,0,7
206,LeBron James\jamesle01,SF,35,LAL,9,9,316,80,169,.473,15,47,.319,65,122,.533,.518,46,62,.742,9,66,75,99,11,6,32,15,221
207,Amile Jefferson\jeffeam01,PF,26,ORL,2,0,9,3,3,1.000,0,0,,3,3,1.000,1.000,0,0,,2,1,3,2,0,0,1,0,6
208,Alize Johnson\johnsal02,PF,23,IND,2,0,18,1,3,.333,0,0,,1,3,.333,.333,0,0,,2,2,4,0,0,0,0,2,2
209,Cameron Johnson\johnsca02,SF,23,PHO,7,0,101,18,37,.486,9,22,.409,9,15,.600,.608,3,4,.750,4,14,18,4,3,2,4,11,48
210,James Johnson\johnsja01,PF,32,MIA,4,0,57,8,17,.471,2,8,.250,6,9,.667,.529,2,4,.500,2,8,10,4,3,2,3,4,20
211,Stanley Johnson\johnsst04,SF,23,TOR,4,0,14,2,6,.333,1,4,.250,1,2,.500,.417,0,0,,1,3,4,0,1,0,4,4,5
212,Tyler Johnson\johnsty01,PG,27,PHO,9,0,168,27,59,.458,13,31,.419,14,28,.500,.568,8,10,.800,1,11,12,15,2,1,8,15,75
213,Nikola Jokic\jokicni01,C,24,DEN,9,9,281,59,132,.447,10,41,.244,49,91,.538,.485,22,30,.733,17,67,84,54,11,7,23,32,150
214,Damian Jones\jonesda03,C,24,ATL,8,0,112,16,24,.667,1,2,.500,15,22,.682,.688,3,6,.500,8,13,21,3,4,4,3,20,36
215,Derrick Jones\jonesde02,SF,22,MIA,4,0,57,12,20,.600,1,4,.250,11,16,.688,.625,3,3,1.000,3,5,8,2,3,0,2,11,28
216,Tyus Jones\jonesty01,PG,23,MEM,10,1,221,33,78,.423,4,22,.182,29,56,.518,.449,13,19,.684,0,13,13,52,12,0,15,13,83
217,DeAndre Jordan\jordade01,C,31,BRK,8,3,172,26,41,.634,0,0,,26,41,.634,.634,7,15,.467,17,60,77,14,3,9,10,20,59
218,Cory Joseph\josepco01,PG,28,SAC,9,0,155,23,53,.434,3,13,.231,20,40,.500,.462,9,9,1.000,7,12,19,20,3,4,12,15,58
219,Mfiondu Kabengele\kabenmf01,C,22,LAC,3,0,7,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,1,1,0,0,1,0,1,3
