Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
370,Ish Smith\smithis01,PG,31,WAS,8,5,209,26,62,.419,5,19,.263,21,43,.488,.460,4,7,.571,6,16,22,35,4,3,9,18,61
371,Tony Snell\snellto01,SF,28,DET,11,11,320,41,86,.477,28,60,.467,13,26,.500,.640,4,4,1.000,5,12,17,22,7,2,6,22,114
372,Omari Spellman\spellom01,PF,22,GSW,10,0,160,22,54,.407,3,12,.250,19,42,.452,.435,18,21,.857,24,30,54,14,8,6,13,12,65
373,Edmond Sumner\sumneed01,PG,24,IND,3,2,67,9,18,.500,0,3,.000,9,15,.600,.500,3,5,.600,1,2,3,6,5,1,1,9,21
374,Caleb Swanigan\swanica01,PF,22,SAC,4,0,11,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,1,3,4,0,1,2,3,3,3
375,Jayson Tatum\tatumja01,PF,21,BOS,9,9,310,64,164,.390,24,57,.421,40,107,.374,.463,23,30,.767,14,55,69,21,15,6,17,21,175
376,Jeff Teague\teaguje01,PG,31,MIN,6,6,158,26,52,.500,5,15,.333,21,37,.568,.548,22,25,.880,0,13,13,38,8,1,14,16,79
377,Garrett Temple\templga01,SG,33,BRK,9,0,187,22,49,.449,14,36,.389,8,13,.615,.592,7,9,.778,4,19,23,14,12,4,5,13,65
378,Daniel Theis\theisda01,C,27,BOS,8,7,174,18,42,.429,2,9,.222,16,33,.485,.452,11,16,.688,10,41,51,10,2,17,6,27,49
379,Isaiah Thomas\thomais02,PG,30,WAS,6,3,136,30,70,.429,12,33,.364,18,37,.486,.514,7,7,1.000,1,12,13,37,2,2,16,11,79
380,Khyri Thomas\thomakh01,SG,23,DET,2,0,6,0,0,,0,0,,0,0,,,1,2,.500,0,0,0,0,0,0,0,0,1
381,Matt Thomas\thomama02,SG,25,TOR,7,0,79,12,17,.706,9,14,.643,3,3,1.000,.971,2,3,.667,1,6,7,2,3,0,4,10,35
382,Tristan Thompson\thomptr01,C,28,CLE,9,9,303,64,118,.542,1,3,.333,63,115,.548,.547,19,32,.594,44,58,102,23,8,14,6,25,148
383,Matisse Thybulle\thybuma01,SG,22,PHI,8,2,124,8,33,.242,5,21,.238,3,12,.250,.318,6,10,.600,2,6,8,9,14,7,15,22,27
384,Anthony Tolliver\tollian01,PF,34,POR,10,5,174,9,35,.257,7,27,.259,2,8,.250,.357,7,9,.778,7,27,34,8,3,4,7,10,32
385,Karl-Anthony Towns\townska01,C,24,MIN,8,8,264,70,144,.486,30,72,.417,40,72,.556,.590,34,48,.708,22,75,97,34,11,14,21,27,204
386,Gary Trent\trentga02,SG,21,POR,6,0,45,4,13,.308,2,8,.250,2,5,.400,.385,0,0,,3,6,9,2,1,0,1,4,10
387,Allonzo Trier\trieral01,SG,24,NYK,7,1,112,16,33,.485,9,19,.474,7,14,.500,.621,16,21,.762,1,10,11,11,2,3,13,17,57
388,P.J. Tucker\tuckepj01,PF,34,HOU,10,10,340,38,73,.521,22,49,.449,16,24,.667,.671,8,9,.889,16,53,69,18,12,5,13,33,106
389,Evan Turner\turneev01,PG,31,ATL,3,0,34,4,7,.571,0,1,.000,4,6,.667,.571,4,5,.800,0,3,3,7,3,0,2,2,12
390,Myles Turner\turnemy01,C,23,IND,4,4,126,22,40,.550,8,15,.533,14,25,.560,.650,7,9,.778,9,18,27,2,2,5,7,8,59
391,Jonas Valanciunas\valanjo01,C,27,MEM,10,10,225,50,101,.495,6,20,.300,44,81,.543,.525,17,18,.944,18,73,91,20,2,7,21,25,123
392,Denzel Valentine\valende01,SG,26,CHI,1,0,5,1,4,.250,1,2,.500,0,2,.000,.375,0,0,,1,0,1,0,0,0,0,0,3
393,Jarred Vanderbilt\vandeja01,PF,20,DEN,2,0,7,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,1,0,0
394,Fred VanVleet\vanvlfr01,SG,25,TOR,10,10,382,49,138,.355,24,63,.381,25,75,.333,.442,36,40,.900,1,41,42,77,16,1,24,22,158
395,Noah Vonleh\vonleno01,C,24,MIN,10,0,133,16,32,.500,1,8,.125,15,24,.625,.516,8,9,.889,11,28,39,10,4,2,7,13,41
396,Nikola Vucevic\vucevni01,C,29,ORL,10,10,317,68,156,.436,9,37,.243,59,119,.496,.465,26,30,.867,25,90,115,32,9,10,14,19,171
397,Moritz Wagner\wagnemo01,C,22,WAS,8,0,142,33,55,.600,7,18,.389,26,37,.703,.664,13,15,.867,12,30,42,2,5,10,19,31,86
398,Kemba Walker\walkeke02,PG,29,BOS,9,9,303,68,163,.417,38,87,.437,30,76,.395,.534,51,56,.911,12,34,46,41,8,6,20,16,225
399,Lonnie Walker\walkelo01,SG,21,SAS,6,0,24,2,11,.182,0,2,.000,2,9,.222,.182,1,3,.333,1,6,7,1,0,1,3,4,5
400,Tyrone Wallace\wallaty01,SG,25,ATL,6,0,80,11,22,.500,0,5,.000,11,17,.647,.500,6,11,.545,2,10,12,6,2,0,6,9,28
401,Taurean Waller-Prince\princta02,SF,25,BRK,9,9,275,40,95,.421,25,60,.417,15,35,.429,.553,11,16,.688,9,48,57,12,11,4,18,26,116
402,Derrick Walton\waltode01,PG,24,LAC,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
403,Brad Wanamaker\wanambr01,PG,30,BOS,9,0,114,16,30,.533,2,6,.333,14,24,.583,.567,8,9,.889,2,15,17,16,7,1,6,14,42
404,T.J. Warren\warretj01,SF,26,IND,10,10,347,79,154,.513,7,26,.269,72,128,.563,.536,15,20,.750,7,26,33,12,14,3,13,27,180
405,PJ Washington\washipj01,PF,21,CHO,10,10,316,50,98,.510,17,35,.486,33,63,.524,.597,18,25,.720,12,50,62,14,14,7,17,23,135
406,Yuta Watanabe\watanyu01,SG,25,MEM,1,0,3,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,0,1,1,0,0,0,0,1,4
407,Russell Westbrook\westbru01,PG,31,HOU,9,9,297,76,161,.472,9,42,.214,67,119,.563,.500,36,55,.655,13,66,79,67,18,4,41,30,197
408,Coby White\whiteco01,PG,19,CHI,10,0,239,42,122,.344,11,52,.212,31,70,.443,.389,16,23,.696,2,31,33,24,6,0,13,10,111
409,Derrick White\whitede01,PG,25,SAS,10,1,236,41,86,.477,10,25,.400,31,61,.508,.535,27,31,.871,8,21,29,22,4,8,8,27,119
410,Hassan Whiteside\whiteha01,C,30,POR,9,9,252,53,94,.564,0,0,,53,94,.564,.564,28,38,.737,37,81,118,7,4,18,19,28,134
411,Andrew Wiggins\wiggian01,SF,24,MIN,10,10,350,98,207,.473,22,65,.338,76,142,.535,.527,37,51,.725,12,36,48,33,6,11,15,22,255
412,Grant Williams\willigr01,PF,21,BOS,9,0,142,8,30,.267,0,13,.000,8,17,.471,.267,9,12,.750,9,15,24,11,5,6,6,17,25
413,Kenrich Williams\willike04,PF,25,NOP,10,2,205,22,49,.449,12,32,.375,10,17,.588,.571,5,11,.455,15,32,47,17,9,6,4,27,61
414,Lou Williams\willilo02,SG,33,LAC,10,2,319,70,171,.409,17,49,.347,53,122,.434,.459,66,79,.835,5,32,37,56,4,3,29,14,223
415,Marvin Williams\willima02,PF,33,CHO,10,0,173,22,46,.478,11,28,.393,11,18,.611,.598,7,8,.875,4,17,21,5,5,2,5,13,62
416,Robert Williams\williro04,C,22,BOS,8,1,128,21,27,.778,0,0,,21,27,.778,.778,5,9,.556,9,30,39,15,8,13,6,21,47
417,Nigel Williams-Goss\willini01,PG,25,UTA,4,0,8,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,0,0,1,0,0,1,1,0
418,D.J. Wilson\wilsodj01,PF,23,MIL,4,0,17,2,9,.222,1,7,.143,1,2,.500,.278,0,0,,0,4,4,2,0,0,1,1,5
419,Justise Winslow\winslju01,SF,23,MIA,5,5,181,28,72,.389,3,12,.250,25,60,.417,.410,10,17,.588,9,31,40,24,5,3,16,17,69
420,Christian Wood\woodch01,PF,24,DET,9,0,132,25,41,.610,8,14,.571,17,27,.630,.707,12,18,.667,8,28,36,3,1,7,9,5,70
421,Delon Wright\wrighde01,SG,27,DAL,10,2,236,32,61,.525,6,16,.375,26,45,.578,.574,12,14,.857,5,31,36,37,11,2,6,12,82
422,Thaddeus Young\youngth01,PF,31,CHI,10,0,221,43,90,.478,13,38,.342,30,52,.577,.550,3,10,.300,10,27,37,16,12,3,14,17,102
423,Trae Young\youngtr01,PG,21,ATL,8,8,260,70,158,.443,25,69,.362,45,89,.506,.522,45,55,.818,6,29,35,67,14,0,39,9,210
424,Cody Zeller\zelleco01,C,27,CHO,9,9,236,46,86,.535,6,20,.300,40,66,.606,.570,18,26,.692,35,53,88,12,5,3,13,22,116
425,Ivica Zubac\zubaciv01,C,22,LAC,10,9,161,35,56,.625,0,0,,35,56,.625,.625,22,26,.846,25,45,70,5,3,14,9,20,92
